unique_key,created_date,closed_date,complaint_type,descriptor,agency,borough,resolution_description,status,resolution_hours
64522391,2025-04-01T08:08:14.000,2025-04-01T19:54:57.000,Street Condition,Plate Condition - Noisy,DOT,QUEENS,The condition was inspected and determined not to be under Department of Transportation's jurisdiction. The Department of Transportation notified the appropriate responsible party of the complaint.,Closed,11.8
64523366,2025-04-01T08:09:45.000,2025-06-28T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,STATEN ISLAND,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,2103.8
64530603,2025-04-01T08:12:42.000,2025-04-01T11:59:15.000,Street Condition,Blocked - Construction,DOT,BROOKLYN,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,Closed,3.8
64529718,2025-04-01T08:14:00.000,2025-07-23T19:50:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,2723.6
64529625,2025-04-01T08:14:08.000,2025-04-01T16:52:07.000,Street Condition,Cave-in,DOT,BROOKLYN,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",Closed,8.6
64527610,2025-04-01T08:18:17.000,2025-04-03T10:33:56.000,PAINT/PLASTER,CEILING,HPD,MANHATTAN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,50.3
64528020,2025-04-01T08:18:22.000,2025-04-02T16:27:00.000,Street Condition,Cave-in,DOT,BROOKLYN,The condition was inspected and determined not to be under Department of Transportation's jurisdiction. The Department of Transportation notified the appropriate responsible party of the complaint.,Closed,32.1
64527244,2025-04-01T08:19:36.000,2025-04-01T15:49:14.000,Street Condition,Plate Condition - Noisy,DOT,MANHATTAN,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",Closed,7.5
64523543,2025-04-01T08:20:00.000,2025-04-08T20:20:00.000,Water System,Hydrant Running (WC3),DEP,QUEENS,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,180.0
64523176,2025-04-01T08:20:03.000,2025-04-02T16:24:13.000,Street Condition,Blocked - Construction,DOT,BROOKLYN,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,Closed,32.1
64524336,2025-04-01T08:21:39.000,2025-04-02T09:55:57.000,Street Condition,Cave-in,DOT,BROOKLYN,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",Closed,25.6
64529490,2025-04-01T08:23:00.000,2025-04-01T09:43:00.000,Water System,Hydrant Leaking (WC1),DEP,QUEENS,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,1.3
64530548,2025-04-01T08:23:52.000,2025-04-24T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,543.6
64524037,2025-04-01T08:24:55.000,2025-09-02T02:06:23.000,PAINT/PLASTER,CEILING,HPD,MANHATTAN,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,3689.7
64522017,2025-04-01T08:26:51.000,2025-04-03T08:20:38.000,Street Condition,Cave-in,DOT,BROOKLYN,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,Closed,47.9
64531200,2025-04-01T08:27:30.000,2025-04-07T09:00:00.000,Street Condition,Pothole,DOT,STATEN ISLAND,The Department of Transportation inspected this complaint and repaired the problem.,Closed,144.5
64527686,2025-04-01T08:31:02.000,2025-04-25T17:55:29.000,PAINT/PLASTER,WALL,HPD,QUEENS,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,585.4
64529931,2025-04-01T08:31:15.000,2025-04-06T16:18:07.000,PAINT/PLASTER,CEILING,HPD,BRONX,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,Closed,127.8
64529924,2025-04-01T08:31:15.000,2025-04-06T16:18:06.000,PAINT/PLASTER,WALL,HPD,BRONX,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,127.8
64525944,2025-04-01T08:32:00.000,2025-04-01T19:50:00.000,Water System,Leak (Use Comments) (WA2),DEP,QUEENS,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,Closed,11.3
64559489,2025-04-01T08:32:54.000,2025-04-09T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,183.5
64522431,2025-04-01T08:32:54.000,2025-12-31T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,6567.5
64523488,2025-04-01T08:35:00.000,2025-04-01T09:45:00.000,Water System,Hydrant Leaking (WC1),DEP,QUEENS,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,1.2
64527243,2025-04-01T08:36:22.000,2025-04-01T11:17:36.000,Street Condition,Defective Hardware,DOT,QUEENS,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",Closed,2.7
64526850,2025-04-01T08:36:43.000,2025-04-02T09:19:07.000,Street Condition,Defective Hardware,DOT,STATEN ISLAND,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,Closed,24.7
64522273,2025-04-01T08:38:55.000,2025-06-30T00:00:00.000,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,2151.4
64523442,2025-04-01T08:39:15.000,2025-05-05T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,807.3
64524184,2025-04-01T08:39:19.000,2025-04-07T11:36:00.000,Street Condition,Pothole,DOT,BRONX,The Department of Transportation inspected this complaint and repaired the problem.,Closed,146.9
64522706,2025-04-01T08:40:00.000,2025-04-03T13:25:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,52.8
64522271,2025-04-01T08:41:56.000,2025-04-29T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BRONX,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,663.3
64529126,2025-04-01T08:42:10.000,2025-04-03T08:36:51.000,Street Condition,Defective Hardware,DOT,BROOKLYN,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",Closed,47.9
64524911,2025-04-01T08:45:17.000,2025-05-19T00:00:00.000,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,1143.2
64524157,2025-04-01T08:48:32.000,2025-04-02T13:40:00.000,Street Condition,Pothole,DOT,BROOKLYN,The Department of Transportation inspected this complaint and repaired the problem.,Closed,28.9
64526648,2025-04-01T08:49:17.000,2025-04-02T10:45:00.000,Street Condition,Pothole,DOT,MANHATTAN,The Department of Transportation inspected this complaint and repaired the problem.,Closed,25.9
64524045,2025-04-01T08:49:38.000,2025-06-02T08:22:52.000,PAINT/PLASTER,WALL,HPD,QUEENS,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,1487.6
64527689,2025-04-01T08:49:38.000,2025-06-02T08:22:52.000,PAINT/PLASTER,CEILING,HPD,QUEENS,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,1487.6
64531124,2025-04-01T08:49:40.000,2025-04-17T05:03:10.000,PAINT/PLASTER,WALL,HPD,BRONX,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,380.2
64530050,2025-04-01T08:50:00.000,2025-04-01T12:00:00.000,Water System,LOW WATER PRESSURE - WLWP,DEP,BROOKLYN,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,Closed,3.2
64530591,2025-04-01T08:56:00.000,2025-04-01T09:50:00.000,Water System,Hydrant Running (WC3),DEP,BRONX,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,0.9
64522372,2025-04-01T08:59:00.000,2025-04-01T21:00:00.000,Water System,Leak (Use Comments) (WA2),DEP,STATEN ISLAND,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,12.0
64528807,2025-04-01T08:59:04.000,2025-04-03T16:21:31.000,PAINT/PLASTER,WALL,HPD,BROOKLYN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,55.4
64529948,2025-04-01T08:59:57.000,2025-04-09T15:20:15.000,PAINT/PLASTER,WALL,HPD,BRONX,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,198.3
64523719,2025-04-01T09:00:50.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,15.0
64527611,2025-04-01T09:03:12.000,2025-04-05T16:09:00.000,PAINT/PLASTER,CEILING,HPD,BROOKLYN,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",Closed,103.1
64522281,2025-04-01T09:03:50.000,2025-04-22T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,494.9
64527362,2025-04-01T09:05:00.000,2025-04-10T13:40:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,220.6
64522839,2025-04-01T09:11:29.000,2025-04-09T18:35:18.000,PAINT/PLASTER,DOOR/FRAME,HPD,BROOKLYN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,201.4
64525894,2025-04-01T09:13:05.000,2025-04-11T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BROOKLYN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,230.8
64529939,2025-04-01T09:14:22.000,2025-04-07T02:05:58.000,PAINT/PLASTER,CEILING,HPD,BROOKLYN,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",Closed,136.9
64523505,2025-04-01T09:17:00.000,2025-04-01T11:20:00.000,Water System,Hydrant Running (WC3),DEP,BRONX,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,Closed,2.0
64529398,2025-04-01T09:19:06.000,2025-05-17T00:00:00.000,General Construction/Plumbing,Debris - Excessive,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,1094.7
64529647,2025-04-01T09:19:07.000,2025-05-20T00:00:00.000,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,1166.7
64529504,2025-04-01T09:19:07.000,2025-08-09T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,3110.7
64522819,2025-04-01T09:20:24.000,2025-04-08T19:23:06.000,PAINT/PLASTER,CEILING,HPD,MANHATTAN,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,Closed,178.0
64526179,2025-04-01T09:22:00.000,2025-05-27T15:25:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,1350.0
64529496,2025-04-01T09:23:00.000,2025-04-02T15:52:00.000,Water System,Leak (Use Comments) (WA2),DEP,BRONX,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,30.5
64521915,2025-04-01T09:24:56.000,2025-04-13T21:32:42.000,Rodent,Rat Sighting,DOHMH,BROOKLYN,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,Closed,300.1
64524712,2025-04-01T09:25:08.000,2025-08-04T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,2990.6
64525940,2025-04-01T09:26:00.000,2025-04-01T09:47:00.000,Water System,Hydrant Running (WC3),DEP,BROOKLYN,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,Closed,0.3
64522433,2025-04-01T09:28:37.000,2025-04-08T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,158.5
64530721,2025-04-01T09:30:01.000,2025-04-01T12:25:43.000,Rodent,Signs of Rodents,DOHMH,BROOKLYN,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,Closed,2.9
64525884,2025-04-01T09:30:26.000,2025-04-01T12:24:31.000,Rodent,Rat Sighting,DOHMH,BROOKLYN,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,Closed,2.9
64528337,2025-04-01T09:32:00.000,2025-04-02T21:30:00.000,Water System,Leak (Use Comments) (WA2),DEP,QUEENS,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,36.0
64531119,2025-04-01T09:33:49.000,2025-04-18T06:54:25.000,PAINT/PLASTER,WALL,HPD,BROOKLYN,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,405.3
64528814,2025-04-01T09:33:49.000,2025-04-18T06:54:25.000,PAINT/PLASTER,CEILING,HPD,BROOKLYN,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,405.3
64522810,2025-04-01T09:40:22.000,2025-08-30T22:53:39.000,PAINT/PLASTER,WALL,HPD,MANHATTAN,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,Closed,3637.2
64523460,2025-04-01T09:40:39.000,2025-05-13T00:00:00.000,General Construction/Plumbing,Fence - None/Inadequate,DOB,QUEENS,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,998.3
64529925,2025-04-01T09:43:49.000,2025-05-08T07:22:00.000,PAINT/PLASTER,WALL,HPD,BRONX,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,885.6
64529549,2025-04-01T09:44:06.000,2026-03-05T00:00:00.000,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,8102.3
64525945,2025-04-01T09:47:00.000,2025-04-01T09:54:00.000,Water System,Leak (Use Comments) (WA2),DEP,BROOKLYN,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,0.1
64525950,2025-04-01T09:50:00.000,2025-04-01T09:57:00.000,Water System,Hydrant Leaking (WC1),DEP,QUEENS,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,0.1
64526969,2025-04-01T09:50:07.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,14.2
64521844,2025-04-01T09:53:00.000,2025-04-01T10:20:00.000,Water System,Excessive Water In Basement (WEFB),DEP,BRONX,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,Closed,0.5
64529489,2025-04-01T09:53:00.000,2025-04-01T10:55:00.000,Water System,Hydrant Leaking (WC1),DEP,QUEENS,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,1.0
64523778,2025-04-01T09:53:00.000,2025-04-09T18:50:00.000,Water System,installation of hydrant side post (WHFP),DEP,QUEENS,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,200.9
64525960,2025-04-01T09:53:00.000,2025-04-01T10:00:00.000,Water System,Leak (Use Comments) (WA2),DEP,QUEENS,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,0.1
64524682,2025-04-01T09:53:07.000,2025-04-10T00:00:00.000,Elevator,Elevator - Multiple Devices On Property,DOB,BRONX,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",Closed,206.1
64530550,2025-04-01T09:53:08.000,2025-04-18T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,398.1
64530561,2025-04-01T09:53:26.000,2025-09-12T00:00:00.000,Elevator,Elevator - Multiple Devices On Property,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,3926.1
64528171,2025-04-01T09:53:53.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,DOB,MANHATTAN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,14.1
64526153,2025-04-01T09:55:00.000,2025-04-02T14:28:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,28.6
64527786,2025-04-01T09:56:00.000,2025-04-01T17:55:00.000,Water System,LOW WATER PRESSURE - WLWP,DEP,BRONX,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,Closed,8.0
64525903,2025-04-01T09:56:08.000,2025-05-06T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",Closed,830.1
64529320,2025-04-01T09:59:09.000,2025-04-11T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BRONX,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,230.0
64522375,2025-04-01T10:02:00.000,2025-04-15T12:15:00.000,Water System,Leak (Use Comments) (WA2),DEP,MANHATTAN,The Department of Environmental Protection investigated this complaint and resolved the leak.,Closed,338.2
64524732,2025-04-01T10:02:00.000,2025-04-02T04:00:00.000,Water System,Hydrant Leaking (WC1),DEP,BROOKLYN,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,Closed,18.0
64527436,2025-04-01T10:03:00.000,2025-04-07T13:36:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,147.6
64530444,2025-04-01T10:05:10.000,2025-04-11T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BRONX,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,229.9
64526972,2025-04-01T10:08:10.000,2025-05-17T00:00:00.000,General Construction/Plumbing,Fence - None/Inadequate,DOB,BROOKLYN,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,1093.9
64526055,2025-04-01T10:11:11.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Adjacent Buildings Not Protected,DOB,BROOKLYN,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,13.8
64525768,2025-04-01T10:11:11.000,2026-02-09T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,7525.8
64522275,2025-04-01T10:17:13.000,2025-05-08T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,MANHATTAN,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,877.7
64528267,2025-04-01T10:17:13.000,2025-12-31T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,6565.7
64529338,2025-04-01T10:20:14.000,2025-06-23T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BRONX,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,1981.7
64522498,2025-04-01T10:23:19.000,2025-06-21T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",Closed,1933.6
64527099,2025-04-01T10:26:16.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,DOB,MANHATTAN,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",Closed,13.6
64523725,2025-04-01T10:31:00.000,2025-05-09T14:00:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,915.5
64530520,2025-04-01T10:32:16.000,2025-05-15T00:00:00.000,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,DOB,BROOKLYN,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,1045.5
64527151,2025-04-01T10:32:16.000,2025-04-11T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,229.5
64523709,2025-04-01T10:34:00.000,2025-04-25T12:58:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,578.4
64530767,2025-04-01T10:35:17.000,2025-04-02T00:00:00.000,General Construction/Plumbing,Working Contrary To Stop Work Order,DOB,MANHATTAN,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,13.4
64523535,2025-04-01T10:35:17.000,2025-04-11T00:00:00.000,Elevator,Elevator - Multiple Devices On Property,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,229.4
64529329,2025-04-01T10:35:45.000,2025-07-07T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,2317.4
64522292,2025-04-01T10:38:45.000,2025-05-12T00:00:00.000,General Construction/Plumbing,Illegal Conversion Of Commercial Bldg/Space To Other Uses,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,973.4
